EC_number	Organism_name	Protein_file	Mol_file	pH	Temperature	Km_value_with_ref
1.1.1.42	Homo sapiens	6BKZ.pdb	mol_310.sdf	7.2	37°C	[(0.11, '151'), (0.06, "{151: 'An acidic residue buried in the dimer interface of isocitrate dehydrogenase 1 (IDH1) helps regulate catalysis and pH sensitivity. Biochem,2020', 162: 'Analysis of amino acid residues involved in the thermal properties of isocitrate dehydrogenases from a psychrophilic bacterium, Colwellia maris, and a psychrotrophic bacterium, Pseudomonas psychrophila. J. Biosci,2020'}")]
1.1.1.42	Homo sapiens	6BKZ.pdb	mol_337.sdf	7.2	37°C	[(0.28, '151'), (0.26, "{151: 'An acidic residue buried in the dimer interface of isocitrate dehydrogenase 1 (IDH1) helps regulate catalysis and pH sensitivity. Biochem,2020', 160: ''}")]
1.1.1.42	Homo sapiens	6BKZ.pdb	mol_310.sdf	6.5	37°C	[(0.048, '151'), (0.034, '151')]
1.1.1.42	Homo sapiens	6BKZ.pdb	mol_310.sdf	7	37°C	[(0.075, '151'), (0.05, "{38: 'Influence of compartmental localization on the function of yeast NADP+-specific isocitrate dehydrogenases. Arch. Biochem,2004', 117: 'Structural, kinetic and chemical mechanism of isocitrate dehydrogenase-1 from Mycobacterium tuberculosis,2013', 151: 'An acidic residue buried in the dimer interface of isocitrate dehydrogenase 1 (IDH1) helps regulate catalysis and pH sensitivity. Biochem,2020'}")]
1.1.1.42	Saccharomyces cerevisiae	2QFX.pdb	mol_310.sdf	-----	-----	[(0.05, "{38: 'Influence of compartmental localization on the function of yeast NADP+-specific isocitrate dehydrogenases. Arch. Biochem,2004', 117: 'Structural, kinetic and chemical mechanism of isocitrate dehydrogenase-1 from Mycobacterium tuberculosis,2013', 151: 'An acidic residue buried in the dimer interface of isocitrate dehydrogenase 1 (IDH1) helps regulate catalysis and pH sensitivity. Biochem,2020'}"), (0.03, "{38: 'Influence of compartmental localization on the function of yeast NADP+-specific isocitrate dehydrogenases. Arch. Biochem,2004', 77: 'Dual compartmental localization and function of mammalian NADP+-specific isocitrate dehydrogenase in yeast. Arch. Biochem,2008', 151: 'An acidic residue buried in the dimer interface of isocitrate dehydrogenase 1 (IDH1) helps regulate catalysis and pH sensitivity. Biochem,2020'}")]
1.1.1.42	Saccharomyces cerevisiae	2QFX.pdb	mol_310.sdf	7.5	-----	[(0.03, "{38: 'Influence of compartmental localization on the function of yeast NADP+-specific isocitrate dehydrogenases. Arch. Biochem,2004', 77: 'Dual compartmental localization and function of mammalian NADP+-specific isocitrate dehydrogenase in yeast. Arch. Biochem,2008', 151: 'An acidic residue buried in the dimer interface of isocitrate dehydrogenase 1 (IDH1) helps regulate catalysis and pH sensitivity. Biochem,2020'}")]
1.1.1.44	Ovis aries	1PGN.pdb	mol_343.sdf	-----	-----	[(0.0284, '95'), (0.028, '98')]
1.1.1.62	Homo sapiens	6H0M.pdb	mol_460.sdf	and	-----	[(0.00079, '132'), (0.00062, '132')]
1.1.1.62	Homo sapiens	6H0M.pdb	mol_461.sdf	and	-----	[(0.0078, '132'), (0.0066, '132')]
1.1.1.81	Pyrococcus furiosus	5AOV.pdb	mol_305.sdf	8	50°C	[(0.14, '31'), (0.09, '31')]
1.1.2.10	Methylorubrum extorquens	6OC5.pdb	mol_53.sdf	and	-----	[(0.044, "{21: 'Contrasting in vitro and in vivo methanol oxidation activities of lanthanide-dependent alcohol dehydrogenases XoxF1 and ExaF from Methylobacterium extorquens AM1. Sci,2019', 24: 'Role of rare earth elements in methanol oxidation. Curr. Opin. Chem,2019'}"), (0.029, "{21: 'Contrasting in vitro and in vivo methanol oxidation activities of lanthanide-dependent alcohol dehydrogenases XoxF1 and ExaF from Methylobacterium extorquens AM1. Sci,2019', 24: 'Role of rare earth elements in methanol oxidation. Curr. Opin. Chem,2019'}")]
1.1.3.10	Phanerodontia chrysosporium	4MIG.pdb	mol_110.sdf	6.5	25°C	[(0.93, '67'), (0.58, '67')]
1.1.3.2	Aerococcus viridans	7F20.pdb	mol_328.sdf	7	25°C	[(0.94, '23'), (0.87, '17')]
1.1.3.38	Penicillium simplicissimum	1W1K.pdb	mol_543.sdf	7.5	25°C	[(0.149, "{24: 'A single loop is essential for the octamerization of vanillyl alcohol oxidase,2016', 29: 'Two tyrosine residues, Tyr-108 and Tyr-503, are responsible for the deprotonation of phenolic substrates in vanillyl-alcohol oxidase. J. Biol,2017'}"), (0.075, '20'), (0.129, '30')]
1.1.3.38	Penicillium simplicissimum	1W1K.pdb	mol_547.sdf	7.5	25°C	[(0.0039, '24'), (0.002, "{17: 'Asp-170 is crucial for the redox properties of vanillyl-alcohol oxidase. J. Biol,2000', 20: 'Laboratory-evolved vanillyl-alcohol oxidase produces natural vanillin. J. Biol,2004'}")]
1.1.3.4	Aspergillus niger	3QVP.pdb	mol_109.sdf	5.1	37°C	[(32.4, '132'), (17.5, '132'), (23.2, '132')]
1.1.3.4	Aspergillus niger	3QVP.pdb	mol_109.sdf	6	30°C	[(29.7, '135'), (28.8, '135')]
1.1.3.4	Aspergillus niger	3QVP.pdb	mol_109.sdf	-----	-----	[(33.0, "{10: 'Preparation, characterization, and potential application of an immobilized glucose oxidase. Appl. Biochem,1987', 94: 'Glucose oxidase - an overview. Biotechnol,2009', 123: 'Effects of carbohydrate depletion on the structure, stability and activity of glucose oxidase from Aspergillus niger. Biochim. Biophys,1991'}"), (22.0, "{21: 'Characterization of glucose oxidase immobilized on collagen. Mol. Cell,1973', 119: 'Conformation and activity of glucose oxidase on homogeneously coated and nanostructured surfaces. J. Phys. Chem,2013', 134: 'Uncovering and redesigning a key amino acid of glucose oxidase for improved biotechnological applications,2013', 139: 'Cloning, heterologous expression, purification and characterization of M12 mutant of Aspergillus niger glucose oxidase in yeast Pichia pastoris KM71H. Mol,2014', 143: 'Yeast surface display for the expression, purification and characterization of wild-type and B11 mutant glucose oxidases. Protein Expr,2013', 148: 'Electrochemical oxidation of glucose using mutant glucose oxidase from directed protein evolution for biosensor and biofuel cell applications. Appl. Biochem,2011'}"), (30.0, "{32: 'Crystallization and preliminary X-ray diffraction studies of a deglycosylated glucose oxidase from Aspergillus niger. J. Mol,1990', 123: 'Effects of carbohydrate depletion on the structure, stability and activity of glucose oxidase from Aspergillus niger. Biochim. Biophys,1991'}")]
1.1.3.4	Aspergillus niger	3QVP.pdb	mol_109.sdf	5.5	-----	[(28.26, "{139: 'Cloning, heterologous expression, purification and characterization of M12 mutant of Aspergillus niger glucose oxidase in yeast Pichia pastoris KM71H. Mol,2014', 155: ''}"), (22.0, "{21: 'Characterization of glucose oxidase immobilized on collagen. Mol. Cell,1973', 119: 'Conformation and activity of glucose oxidase on homogeneously coated and nanostructured surfaces. J. Phys. Chem,2013', 134: 'Uncovering and redesigning a key amino acid of glucose oxidase for improved biotechnological applications,2013', 139: 'Cloning, heterologous expression, purification and characterization of M12 mutant of Aspergillus niger glucose oxidase in yeast Pichia pastoris KM71H. Mol,2014', 143: 'Yeast surface display for the expression, purification and characterization of wild-type and B11 mutant glucose oxidases. Protein Expr,2013', 148: 'Electrochemical oxidation of glucose using mutant glucose oxidase from directed protein evolution for biosensor and biofuel cell applications. Appl. Biochem,2011'}")]
1.1.3.4	Aspergillus niger	3QVP.pdb	mol_109.sdf	6	25°C	[(33.0, "{10: 'Preparation, characterization, and potential application of an immobilized glucose oxidase. Appl. Biochem,1987', 94: 'Glucose oxidase - an overview. Biotechnol,2009', 123: 'Effects of carbohydrate depletion on the structure, stability and activity of glucose oxidase from Aspergillus niger. Biochim. Biophys,1991'}"), (30.0, "{32: 'Crystallization and preliminary X-ray diffraction studies of a deglycosylated glucose oxidase from Aspergillus niger. J. Mol,1990', 123: 'Effects of carbohydrate depletion on the structure, stability and activity of glucose oxidase from Aspergillus niger. Biochim. Biophys,1991'}")]
1.1.3.47	Pleurotus eryngii	5OC1.pdb	mol_41.sdf	6	25°C	[(0.038, '16'), (0.028, '16'), (0.0318, '16')]
1.1.3.9	Fusarium graminearum	6XLR.pdb	mol_126.sdf	7	30°C	[(60.4, '60'), (56.0, '60'), (42.4, '60')]
1.1.5.2	Acinetobacter calcoaceticus	1CRU.pdb	mol_590.sdf	7	25°C	[(13.0, "{43: 'Surface charge engineering of PQQ glucose dehydrogenase for downstream processing. Biotechnol,2003', 48: 'Construction and characterization of heterodimeric soluble quinoprotein glucose dehydrogenase. J. Biochem. Biophys,2004'}"), (10.0, '43'), (11.0, '43')]
1.1.5.2	Acinetobacter calcoaceticus	1CRU.pdb	mol_133.sdf	7	25°C	[(36.0, '43'), (26.0, '43'), (25.0, '43')]
1.1.5.2	Acinetobacter calcoaceticus	1CRU.pdb	mol_591.sdf	7	25°C	[(56.0, '43'), (53.0, '43'), (41.0, '43')]
1.1.5.2	Acinetobacter calcoaceticus	1CRU.pdb	mol_110.sdf	7	25°C	[(27.0, '43'), (25.0, "{34: 'Construction of engineered water-soluble PQQ glucose dehydrogenase with improved substrate specificity. Biocatal,2002', 42: 'Engineering PQQ glucose dehydrogenase with improved substrate specificity. Site-directed mutagenesis studies on the active center of PQQ glucose dehydrogenase. Biomol,2004', 43: 'Surface charge engineering of PQQ glucose dehydrogenase for downstream processing. Biotechnol,2003'}")]
1.1.5.2	Acinetobacter calcoaceticus	1CRU.pdb	mol_592.sdf	7	25°C	[(76.0, '43'), (75.0, '43'), (63.0, '43')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_110.sdf	7.5	30°C	[(0.87, '24'), (0.86, '12'), (0.82, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 11: 'Pyranose dehydrogenases: biochemical features and perspectives of technological applications. Appl. Microbiol,2009', 12: 'Heterologous expression of an Agaricus meleagris pyranose dehydrogenase-encoding gene in Aspergillus spp. and characterization of the recombinant enzyme. Appl. Microbiol,2010', 14: 'Pyranose dehydrogenases: Biochemical features and perspectives of technological applications. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012', 20: 'Characterization of three pyranose dehydrogenase isoforms from the litter-decomposing basidiomycete Leucoagaricus meleagris (syn. Agaricus meleagris). Appl. Microbiol,2017'}")]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_130.sdf	8.5	30°C	[(0.54, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 11: 'Pyranose dehydrogenases: biochemical features and perspectives of technological applications. Appl. Microbiol,2009', 14: 'Pyranose dehydrogenases: Biochemical features and perspectives of technological applications. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012'}"), (0.49, '15')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_126.sdf	7.5	30°C	[(1.05, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 11: 'Pyranose dehydrogenases: biochemical features and perspectives of technological applications. Appl. Microbiol,2009', 12: 'Heterologous expression of an Agaricus meleagris pyranose dehydrogenase-encoding gene in Aspergillus spp. and characterization of the recombinant enzyme. Appl. Microbiol,2010', 14: 'Pyranose dehydrogenases: Biochemical features and perspectives of technological applications. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012'}"), (1.0, '24'), (0.64, '20'), (1.02, '12')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_515.sdf	8.5	30°C	[(0.22, '12'), (0.13, '12')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_130.sdf	7.5	30°C	[(0.74, '12'), (0.44, '12')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_496.sdf	5	30°C	[(0.62, '15'), (0.61, '12'), (0.55, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 12: 'Heterologous expression of an Agaricus meleagris pyranose dehydrogenase-encoding gene in Aspergillus spp. and characterization of the recombinant enzyme. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012'}")]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_599.sdf	8.5	30°C	[(0.16, "{15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012', 28: 'Engineering of pyranose dehydrogenase for increased oxygen reactivity,2014'}"), (0.13, '15')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_499.sdf	2	30°C	[(1.82, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 12: 'Heterologous expression of an Agaricus meleagris pyranose dehydrogenase-encoding gene in Aspergillus spp. and characterization of the recombinant enzyme. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012'}"), (1.03, '12')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_132.sdf	8.5	30°C	[(1.93, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 11: 'Pyranose dehydrogenases: biochemical features and perspectives of technological applications. Appl. Microbiol,2009', 12: 'Heterologous expression of an Agaricus meleagris pyranose dehydrogenase-encoding gene in Aspergillus spp. and characterization of the recombinant enzyme. Appl. Microbiol,2010', 14: 'Pyranose dehydrogenases: Biochemical features and perspectives of technological applications. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012'}"), (1.92, '15')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_134.sdf	7.5	30°C	[(94.0, '20'), (74.2, '24')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_133.sdf	7.5	30°C	[(134.0, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 11: 'Pyranose dehydrogenases: biochemical features and perspectives of technological applications. Appl. Microbiol,2009', 12: 'Heterologous expression of an Agaricus meleagris pyranose dehydrogenase-encoding gene in Aspergillus spp. and characterization of the recombinant enzyme. Appl. Microbiol,2010', 14: 'Pyranose dehydrogenases: Biochemical features and perspectives of technological applications. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012'}"), (113.9, '12'), (76.7, '20')]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_110.sdf	8.5	30°C	[(0.82, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 11: 'Pyranose dehydrogenases: biochemical features and perspectives of technological applications. Appl. Microbiol,2009', 12: 'Heterologous expression of an Agaricus meleagris pyranose dehydrogenase-encoding gene in Aspergillus spp. and characterization of the recombinant enzyme. Appl. Microbiol,2010', 14: 'Pyranose dehydrogenases: Biochemical features and perspectives of technological applications. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012', 20: 'Characterization of three pyranose dehydrogenase isoforms from the litter-decomposing basidiomycete Leucoagaricus meleagris (syn. Agaricus meleagris). Appl. Microbiol,2017'}"), (0.69, "{15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012', 28: 'Engineering of pyranose dehydrogenase for increased oxygen reactivity,2014'}")]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_126.sdf	8.5	30°C	[(1.07, "{15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012', 28: 'Engineering of pyranose dehydrogenase for increased oxygen reactivity,2014'}"), (1.05, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 11: 'Pyranose dehydrogenases: biochemical features and perspectives of technological applications. Appl. Microbiol,2009', 12: 'Heterologous expression of an Agaricus meleagris pyranose dehydrogenase-encoding gene in Aspergillus spp. and characterization of the recombinant enzyme. Appl. Microbiol,2010', 14: 'Pyranose dehydrogenases: Biochemical features and perspectives of technological applications. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012'}")]
1.1.99.29	Leucoagaricus meleagris	4H7U.pdb	mol_133.sdf	8.5	30°C	[(134.0, "{10: 'Characterization of pyranose dehydrogenase from Agaricus meleagris and its application in the C-2 specific conversion of D-galactose. J,2008', 11: 'Pyranose dehydrogenases: biochemical features and perspectives of technological applications. Appl. Microbiol,2009', 12: 'Heterologous expression of an Agaricus meleagris pyranose dehydrogenase-encoding gene in Aspergillus spp. and characterization of the recombinant enzyme. Appl. Microbiol,2010', 14: 'Pyranose dehydrogenases: Biochemical features and perspectives of technological applications. Appl. Microbiol,2010', 15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012'}"), (128.0, "{15: 'Simple and efficient expression of Agaricus meleagris pyranose dehydrogenase in Pichia pastoris. Appl. Microbiol,2012', 28: 'Engineering of pyranose dehydrogenase for increased oxygen reactivity,2014'}")]
1.1.99.31	Pseudomonas putida	6BFG.pdb	mol_613.sdf	7.5	20°C	[(0.9, "{11: 'Role of glycine 81 in (S)-mandelate dehydrogenase from Pseudomonas putida in substrate specificity and oxidase activity,2004', 16: 'Structures of the G81A mutant form of the active chimera of (S)-mandelate dehydrogenase and its complex with two of its substrates. Acta Crystallogr. Sect,2009'}"), (0.64, "{5: 'A highly active, soluble mutant of the membrane-associated (S)-mandelate dehydrogenase from Pseudomonas putida,1999', 16: 'Structures of the G81A mutant form of the active chimera of (S)-mandelate dehydrogenase and its complex with two of its substrates. Acta Crystallogr. Sect,2009'}")]
1.1.99.31	Pseudomonas putida	6BFG.pdb	mol_613.sdf	-----	-----	[(0.9, "{11: 'Role of glycine 81 in (S)-mandelate dehydrogenase from Pseudomonas putida in substrate specificity and oxidase activity,2004', 16: 'Structures of the G81A mutant form of the active chimera of (S)-mandelate dehydrogenase and its complex with two of its substrates. Acta Crystallogr. Sect,2009'}"), (0.64, "{5: 'A highly active, soluble mutant of the membrane-associated (S)-mandelate dehydrogenase from Pseudomonas putida,1999', 16: 'Structures of the G81A mutant form of the active chimera of (S)-mandelate dehydrogenase and its complex with two of its substrates. Acta Crystallogr. Sect,2009'}")]
1.1.99.38	Niallia circulans	4M7T.pdb	mol_622.sdf	8	28°C	[(0.46, '2'), (0.31, '1')]
1.10.3.4	Streptomyces antibioticus	3GYR.pdb	mol_653.sdf	4.5	25°C	[(0.077, '7'), (0.052, '7')]
1.11.1.10	Leptoxyphium fumago	2CIW.pdb	mol_161.sdf	3	-----	[(0.0066, '101')]
